gene_id	associated_reactions	growth_WT_h-1	growth_KO_h-1	growth_ratio	solver_status	essentiality_label
EHJ91283_1	ADSS	0.2902343858032029	-3.1885850726495676e-14	-1.0986241564125445e-13	optimal	Essential
EHJ93140_1	ADSL1r;ADSL2r	0.2902343858032029	-2.373370060067348e-14	-8.177425474583986e-14	optimal	Essential
EHJ91597_1	AICART;IMPC	0.2902343858032029	-1.2718881601772557e-14	-4.382279365890421e-14	optimal	Essential
EHJ92401_1	PRAGSr	0.2902343858032029	-1.1923951501661773e-14	-4.10838690552227e-14	optimal	Essential
EHJ93575_1	CTPS1;CTPS2	0.2902343858032029	-3.988156605692716e-15	-1.3741158183775427e-14	optimal	Essential
EHJ92316_1	OMPDC	0.2902343858032029	-2.2341516120342474e-15	-7.697749547667803e-15	optimal	Essential
EHJ93122_1	DHORD2;DHORD5;DHORDfum	0.2902343858032029	-2.1655592379805656e-15	-7.461415131730638e-15	optimal	Essential
EHJ94309_1	ORPT	0.2902343858032029	-2.136546067089975e-15	-7.361450508964458e-15	optimal	Essential
EHJ94196_1	TKT1;TKT2	0.2902343858032029	-1.2386394137067362e-15	-4.2677211050609676e-15	optimal	Essential
EHJ94210_1	ASPCT;CBPS;DHORTS	0.2902343858032029	-1.1072768954380267e-15	-3.815112714414308e-15	optimal	Essential
EHJ93778_1	DXPRIi	0.2902343858032029	-5.017101251133184e-16	-1.7286377826144602e-15	optimal	Essential
EHJ92374_1	CHORS	0.2902343858032029	-3.0937602543174706e-16	-1.0659523494281047e-15	optimal	Essential
EHJ93953_1	OCTDPS	0.2902343858032029	-2.4206423483401066e-16	-8.340301724212147e-16	optimal	Essential
EHJ94719_1	DHNAOT4	0.2902343858032029	-1.987325250276962e-16	-6.847311509203783e-16	optimal	Essential
EHJ94195_1	METAT	0.2902343858032029	-1.4422740854628072e-16	-4.969342559019728e-16	optimal	Essential
EHJ94330_1	DGK1;GK1	0.2902343858032029	-1.4189472953540975e-16	-4.888970310761981e-16	optimal	Essential
EHJ93896_1	DHPS;FOLD3	0.2902343858032029	-1.1825988136178284e-16	-4.0746337149027703e-16	optimal	Essential
EHJ94296_1	UDCPDP;UDCPDPex	0.2902343858032029	-1.1758692694917098e-16	-4.0514471303514776e-16	optimal	Essential
EHJ94084_1	PNTK	0.2902343858032029	-1.0112110011566053e-16	-3.4841185284030053e-16	optimal	Essential
EHJ94373_1	DAPDC	0.2902343858032029	-1.0112110011566053e-16	-3.4841185284030053e-16	optimal	Essential
EHJ93789_1	THDPS	0.2902343858032029	-9.084813442953406e-17	-3.130164407574187e-16	optimal	Essential
EHJ91225_1	ADSELK;ADSK;SADT;SADT2;SELADT	0.2902343858032029	-8.81901952118782e-17	-3.038585347763607e-16	optimal	Essential
EHJ94269_1	AGPR	0.2902343858032029	-8.81901952118782e-17	-3.038585347763607e-16	optimal	Essential
EHJ91155_1	HISTP;PSP_L	0.2902343858032029	-8.60990724686456e-17	-2.9665358992654363e-16	optimal	Essential
EHJ91434_1	PDX5PS	0.2902343858032029	-7.799009020054179e-17	-2.687141635017153e-16	optimal	Essential
EHJ93825_1	HSDy;LSERDHr	0.2902343858032029	-7.799009020054179e-17	-2.687141635017153e-16	optimal	Essential
EHJ93638_1	ORNCD;ORNCD_1	0.2902343858032029	-6.010868230816559e-17	-2.0710393133404616e-16	optimal	Essential
EHJ91121_1	TMPK	0.2902343858032029	-5.0763264973817117e-17	-1.7490437886377045e-16	optimal	Essential
EHJ93283_1	DPR;KARA1;KARA2	0.2902343858032029	-5.0763264973817104e-17	-1.749043788637704e-16	optimal	Essential
EHJ91226_1	ADSELK;ADSK;SADT;SADT2;SELADT	0.2902343858032029	-5.0471185794185586e-17	-1.7389802264301039e-16	optimal	Essential
EHJ91962_1	ASAD	0.2902343858032029	-4.9683131256924064e-17	-1.7118278773009462e-16	optimal	Essential
EHJ93117_1	PERD	0.2902343858032029	-4.968313125692405e-17	-1.7118278773009457e-16	optimal	Essential
EHJ91640_1	DPCOAK	0.2902343858032029	-4.729824317846991e-17	-1.6296567702539937e-16	optimal	Essential
EHJ94192_1	MTHFR2;MTHFR3	0.2902343858032029	-4.729824317846991e-17	-1.6296567702539937e-16	optimal	Essential
EHJ91394_1	DTMPK;URIDK2r	0.2902343858032029	-3.9195642316390316e-17	-1.3504823767838255e-16	optimal	Essential
EHJ91631_1	AROH;CHORM;PPNDH	0.2902343858032029	-3.919564231639031e-17	-1.3504823767838252e-16	optimal	Essential
EHJ93824_1	4HTHRS;THRS	0.2902343858032029	-3.919564231639031e-17	-1.3504823767838252e-16	optimal	Essential
EHJ93669_1	SHK3Dr	0.2902343858032029	-2.888637795280001e-17	-9.95277588245067e-17	optimal	Essential
EHJ91282_1	ATPPRT	0.2902343858032029	-2.4974405546773247e-17	-8.604909262442618e-17	optimal	Essential
EHJ93579_1	DHQS	0.2902343858032029	-1.9585200346663972e-17	-6.748063394509005e-17	optimal	Essential
EHJ94299_1	GF6PTA	0.2902343858032029	-1.7719017011877767e-17	-6.105071583038534e-17	optimal	Essential
EHJ91350_1	UAAGDS	0.2902343858032029	-5.539806364033725e-18	-1.9087353652816525e-17	optimal	Essential
EHJ91326_1	UAGCVT	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ91351_1	UGMDDS	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ91352_1	PAPPT3	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ91392_1	ADCL	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ91963_1	IPMD	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ91965_1	IPPMIa;IPPMIb	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ92333_1	IGPS	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ92977_1	APPAT;PTPATi	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ93021_1	IGPDH	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ93024_1	IG3PS	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ93804_1	ACGK	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ93881_1	MOHMT	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ93904_1	DHDPRx_r;DHDPRy	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ94268_1	CLt3_2pp;Clt	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ94729_1	SUCBZS	0.2902343858032029	0.0	0.0	optimal	Essential
spontaneous	ACALDt;ACALDtpp;ATPHs;CO2t;CO2tex;CO2tpp;DATPHs;DHPTDCs2;ETOHtrpp;FALDtpp;FALGTHLs;FE3DCITCH;FE3DCITexs;FE3HOXexs;FE3PYOVDL2;GLYCtpp;GTPHs;H2O2tex;H2Ot;H2Otex;H2Otpp;H2SO;H2St1;H2tpp;HCO3E;MEOHtex;MEOHtrpp;METOX1s;METOX2s;MGSA;MTHTHFSs;NADHHR;NADPHHR;NH3c;NH4tex;NH4tpp;NOVBCNtex;NOtpp;O2tex;O2tpp;OMCDC;St;TCYNTtpp;TNTHAC1;TNTHAC2	0.2902343858032029	0.0	0.0	optimal	Essential
EHJ91328_1	HDH;HISTD	0.2902343858032029	1.0068574115418269e-17	3.4691182740302155e-17	optimal	Essential
EHJ91608_1	ARGSS	0.2902343858032029	1.0080475409689114e-17	3.473218854406972e-17	optimal	Essential
EHJ93023_1	PRMICI	0.2902343858032029	1.0094237158837116e-17	3.477960452860207e-17	optimal	Essential
EHJ91162_1	TMDS	0.2902343858032029	1.024694711244255e-17	3.530576531820948e-17	optimal	Essential
EHJ93566_1	ASPK	0.2902343858032029	1.9597821158195158e-17	6.752411883919127e-17	optimal	Essential
EHJ94867_1	ABUTD;ALDD1;ALDD19xr;ALDD2x;ALDD3;ALDD31_1;ALDD4;BETALDHx;BETALDHy;GCALDD;GLXO1;GLYALDDr;LCADi	0.2902343858032029	2.6322858398937988e-17	9.069517495692787e-17	optimal	Essential
EHJ94730_1	SUCBZL	0.2902343858032029	3.919564231639031e-17	1.3504823767838252e-16	optimal	Essential
EHJ94371_1	ARGSL	0.2902343858032029	3.9195642316390316e-17	1.3504823767838255e-16	optimal	Essential
EHJ91353_1	UAMAGS	0.2902343858032029	4.7298243178469906e-17	1.6296567702539934e-16	optimal	Essential
EHJ93300_1	AMPMS2	0.2902343858032029	4.8364406254580576e-17	1.666391324402708e-16	optimal	Essential
EHJ91327_1	ATPPRT	0.2902343858032029	5.430876296443851e-17	1.8712036071860644e-16	optimal	Essential
EHJ93868_1	HSERTA	0.2902343858032029	5.879346347458546e-17	2.0257235651757373e-16	optimal	Essential
EHJ93882_1	PANTS	0.2902343858032029	5.879346347458546e-17	2.0257235651757373e-16	optimal	Essential
EHJ94937_1	FMNAT;RBFK	0.2902343858032029	5.879346347458546e-17	2.0257235651757373e-16	optimal	Essential
EHJ91355_1	UAGPT3	0.2902343858032029	7.407297215482846e-17	2.5521776804577035e-16	optimal	Essential
EHJ92759_1	MECDPS	0.2902343858032029	8.075306234968536e-17	2.782339595158825e-16	optimal	Essential
EHJ91630_1	OHPBAT;PSERT	0.2902343858032029	1.0889989155477208e-16	3.7521360969479694e-16	optimal	Essential
EHJ92540_1	CDPMEK	0.2902343858032029	1.2351499035372474e-16	4.255698028746864e-16	optimal	Essential
EHJ93869_1	HSERTA	0.2902343858032029	1.4189472953540975e-16	4.888970310761981e-16	optimal	Essential
EHJ91775_1	PDX5POi;PYAM5PO;PYDXNO;PYDXO	0.2902343858032029	1.4567613136466888e-16	5.019258175130442e-16	optimal	Essential
EHJ93780_1	UDCPDPS	0.2902343858032029	1.469007328708731e-16	5.061451711324137e-16	optimal	Essential
EHJ93801_1	PPCDC;PPNCL2	0.2902343858032029	1.469007328708731e-16	5.061451711324137e-16	optimal	Essential
EHJ92760_1	MEPCT;MEPCT_1	0.2902343858032029	1.7426463755788925e-16	6.004272618339978e-16	optimal	Essential
EHJ94453_1	DXPS	0.2902343858032029	1.7632162051551365e-16	6.075145783555459e-16	optimal	Essential
EHJ94039_1	TMPPP	0.2902343858032029	1.987325250276962e-16	6.847311509203783e-16	optimal	Essential
EHJ91955_1	DHFS	0.2902343858032029	1.9873252502769626e-16	6.847311509203785e-16	optimal	Essential
EHJ93580_1	SHKK	0.2902343858032029	2.3206844517234976e-16	7.995897678702576e-16	optimal	Essential
EHJ91768_1	SULR	0.2902343858032029	2.420021561200783e-16	8.338162807634067e-16	optimal	Essential
EHJ91964_1	IPPMIa;IPPMIb	0.2902343858032029	2.483054497144862e-16	8.55534222891332e-16	optimal	Essential
EHJ94720_1	ICHORS	0.2902343858032029	2.6036736616648375e-16	8.970934489582815e-16	optimal	Essential
EHJ91952_1	GLUPRT	0.2902343858032029	3.38550843782064e-16	1.1664739270818955e-15	optimal	Essential
EHJ94374_1	DAPE	0.2902343858032029	3.8745570147839705e-16	1.3349751801673712e-15	optimal	Essential
EHJ92468_1	AIRC1;AIRC3	0.2902343858032029	8.705593125824503e-16	2.999504383924874e-15	optimal	Essential
EHJ91937_1	PRAIS	0.2902343858032029	1.4408108064507975e-15	4.9643008441727425e-15	optimal	Essential
EHJ94231_1	RPI	0.2902343858032029	4.148174730960122e-15	1.4292499213972686e-14	optimal	Essential
EHJ92541_1	PRPPS	0.2902343858032029	8.248856794384368e-15	2.8421362863522347e-14	optimal	Essential
EHJ92341_1	RPE	0.2902343858032029	1.1653291384462653e-14	4.015131202394576e-14	optimal	Essential
EHJ91938_1	GARFT	0.2902343858032029	1.5995398670920053e-14	5.511200413642902e-14	optimal	Essential
EHJ92920_1	PRASCSi	0.2902343858032029	1.864925596351465e-14	6.425584588092196e-14	optimal	Essential
EHJ92310_1	ASPO1;ASPO3;ASPO4;ASPO5;ASPO6	0.2902343858032029	4.472931385043909e-14	1.5411445382894214e-13	optimal	Essential
EHJ92916_1	NNDPR	0.2902343858032029	1.8590958032238995e-13	6.405498087619718e-13	optimal	Essential
EHJ92927_1	QULNS	0.2902343858032029	3.3860812291466615e-13	1.1666712818248342e-12	optimal	Essential
EHJ92173_1	NADK	0.2902343858032029	1.1518534021949029e-12	3.9687006727587814e-12	optimal	Essential
EHJ94280_1	ATPS4rpp	0.2902343858032029	0.09196421278744826	0.3168618788326679	optimal	Growth-reducing
EHJ94285_1	ATPS4rpp	0.2902343858032029	0.09196421279038426	0.3168618788427839	optimal	Growth-reducing
EHJ94286_1	ATPS4rpp	0.2902343858032029	0.09196421279477145	0.3168618788578999	optimal	Growth-reducing
EHJ94284_1	ATPS4rpp	0.2902343858032029	0.09196421279842884	0.3168618788705014	optimal	Growth-reducing
EHJ94281_1	ATPS4rpp	0.2902343858032029	0.09196421279891845	0.31686187887218836	optimal	Growth-reducing
EHJ91867_1	CYTCAA3pp	0.2902343858032029	0.10263527425865202	0.35362892640930965	optimal	Growth-reducing
EHJ91868_1	CYTCAA3pp;FEROc;FEROpp	0.2902343858032029	0.10263527426053963	0.3536289264158134	optimal	Growth-reducing
EHJ91866_1	CYTCAA3pp	0.2902343858032029	0.1026352742605563	0.35362892641587085	optimal	Growth-reducing
EHJ91869_1	CYTCAA3pp	0.2902343858032029	0.10263527426055737	0.3536289264158745	optimal	Growth-reducing
